p
"(:OntologyClass:NeedsReview {name: cab81-18-d, source: learned_from_dataset, uri: https://example.org/ontology#cab81-18-d})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: copper alloy contacts, source: learned_from_dataset, uri: https://example.org/ontology#copper alloy contacts})-[:CONNECTSTO]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: copper alloy contacts, source: learned_from_dataset, uri: https://example.org/ontology#copper alloy contacts})-[:CONNECTSTO]->(:OntologyClass {name: Inductor, source: Baseline, uri: https://schema.org/Inductor})"
"(:OntologyClass:NeedsReview {name: copper alloy contacts, source: learned_from_dataset, uri: https://example.org/ontology#copper alloy contacts})-[:CONNECTSTO]->(:OntologyClass {name: Diode, source: Baseline, uri: https://schema.org/Diode})"
"(:OntologyClass:NeedsReview {name: copper alloy contacts, source: learned_from_dataset, uri: https://example.org/ontology#copper alloy contacts})-[:CONNECTSTO]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: coupling ring, source: learned_from_dataset, uri: https://example.org/ontology#coupling ring})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: coupling ring, source: learned_from_dataset, uri: https://example.org/ontology#coupling ring})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: coupling nut, source: learned_from_dataset, uri: https://example.org/ontology#coupling nut})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:PARTOF]->(:OntologyClass {name: PassiveComponent, source: Baseline, uri: https://schema.org/PassiveComponent})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:PARTOF]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:PARTOF]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:USEDIN]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:USEDIN]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:USEDIN]->(:OntologyClass {name: Inductor, source: Baseline, uri: https://schema.org/Inductor})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:USEDIN]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:USEDIN]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: copper alloys, source: learned_from_dataset, uri: https://example.org/ontology#copper alloys})-[:MADEOF]->(:OntologyClass {name: Cable, source: Baseline, uri: https://schema.org/Cable})"
"(:OntologyClass:NeedsReview {name: coupling mechanism b, source: learned_from_dataset, uri: https://example.org/ontology#coupling mechanism b})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: coupling mechanism b, source: learned_from_dataset, uri: https://example.org/ontology#coupling mechanism b})-[:USEDIN]->(:OntologyClass {name: ElectricalSystem})"
"(:OntologyClass:NeedsReview {name: coupling mechanism b, source: learned_from_dataset, uri: https://example.org/ontology#coupling mechanism b})-[:FACILITATES]->(:OntologyClass {name: SignalTransfer})"
"(:OntologyClass:NeedsReview {name: crc1218 1218 rr 3246m, source: learned_from_dataset, uri: https://example.org/ontology#crc1218 1218 rr 3246m})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crc1210 1210 rr 3225m, source: learned_from_dataset, uri: https://example.org/ontology#crc1210 1210 rr 3225m})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crc, source: learned_from_dataset, uri: https://example.org/ontology#crc})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crc, source: learned_from_dataset, uri: https://example.org/ontology#crc})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW0402, source: learned_from_dataset, uri: https://example.org/ontology#crcW0402})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW0402, source: learned_from_dataset, uri: https://example.org/ontology#crcW0402})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: crcW1210, source: learned_from_dataset, uri: https://example.org/ontology#crcW1210})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: chip capacitor, source: learned_from_dataset, uri: https://example.org/ontology#chip capacitor})-[:SUBCLASS_OF]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: chip capacitor, source: learned_from_dataset, uri: https://example.org/ontology#chip capacitor})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: chip capacitor, source: learned_from_dataset, uri: https://example.org/ontology#chip capacitor})-[:RELATEDTO]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: crcW0603, source: learned_from_dataset, uri: https://example.org/ontology#crcW0603})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW0603, source: learned_from_dataset, uri: https://example.org/ontology#crcW0603})-[:PARTOF]->(:OntologyClass {name: Electronic Manufacturing})"
"(:OntologyClass:NeedsReview {name: crcW0603, source: learned_from_dataset, uri: https://example.org/ontology#crcW0603})-[:USEDIN]->(:OntologyClass {name: Surface Mount Technology})"
"(:OntologyClass:NeedsReview {name: crc2010 2010 rr 5025m, source: learned_from_dataset, uri: https://example.org/ontology#crc2010 2010 rr 5025m})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crc2010 2010 rr 5025m, source: learned_from_dataset, uri: https://example.org/ontology#crc2010 2010 rr 5025m})-[:RELATEDTO]->(:OntologyClass {name: electronic circuit design})"
"(:OntologyClass:NeedsReview {name: crc2010 2010 rr 5025m, source: learned_from_dataset, uri: https://example.org/ontology#crc2010 2010 rr 5025m})-[:USEDIN]->(:OntologyClass {name: manufacturing process})"
"(:OntologyClass:NeedsReview {name: crcW0805, source: learned_from_dataset, uri: https://example.org/ontology#crcW0805})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW0805, source: learned_from_dataset, uri: https://example.org/ontology#crcW0805})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW1206, source: learned_from_dataset, uri: https://example.org/ontology#crcW1206})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW1206, source: learned_from_dataset, uri: https://example.org/ontology#crcW1206})-[:PARTOF]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: crcW1206, source: learned_from_dataset, uri: https://example.org/ontology#crcW1206})-[:USEDIN]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW2010, source: learned_from_dataset, uri: https://example.org/ontology#crcW2010})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW2010, source: learned_from_dataset, uri: https://example.org/ontology#crcW2010})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW2010, source: learned_from_dataset, uri: https://example.org/ontology#crcW2010})-[:COMPRISES]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: crimp contact, source: learned_from_dataset, uri: https://example.org/ontology#crimp contact})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp contact, source: learned_from_dataset, uri: https://example.org/ontology#crimp contact})-[:CONNECTEDTO]->(:OntologyClass {name: ElectricalConnection})"
"(:OntologyClass:NeedsReview {name: crimp contact, source: learned_from_dataset, uri: https://example.org/ontology#crimp contact})-[:HASFUNCTION]->(:OntologyClass {name: MechanicalFastening})"
"(:OntologyClass:NeedsReview {name: crimp contacts, source: learned_from_dataset, uri: https://example.org/ontology#crimp contacts})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp contacts, source: learned_from_dataset, uri: https://example.org/ontology#crimp contacts})-[:USEDWITH]->(:OntologyClass {name: Electrical wiring})"
"(:OntologyClass:NeedsReview {name: crimp contacts, source: learned_from_dataset, uri: https://example.org/ontology#crimp contacts})-[:INVOLVES]->(:OntologyClass {name: Manufacturing process})"
"(:OntologyClass:NeedsReview {name: crimp dies, source: learned_from_dataset, uri: https://example.org/ontology#crimp dies})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp dies, source: learned_from_dataset, uri: https://example.org/ontology#crimp dies})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: crimp locator, source: learned_from_dataset, uri: https://example.org/ontology#crimp locator})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp locator, source: learned_from_dataset, uri: https://example.org/ontology#crimp locator})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp die, source: learned_from_dataset, uri: https://example.org/ontology#crimp die})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp die, source: learned_from_dataset, uri: https://example.org/ontology#crimp die})-[:USEDIN]->(:OntologyClass {name: ManufacturingProcess})"
"(:OntologyClass:NeedsReview {name: crimp die, source: learned_from_dataset, uri: https://example.org/ontology#crimp die})-[:ISA]->(:OntologyClass {name: Tool})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:RELATEDTO]->(:OntologyClass {name: PassiveComponent, source: Baseline, uri: https://schema.org/PassiveComponent})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:RELATEDTO]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:RELATEDTO]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:RELATEDTO]->(:OntologyClass {name: ChipAntenna, source: Baseline, uri: https://schema.org/ChipAntenna})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:ASSOCIATEDWITH]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:ASSOCIATEDWITH]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:USEDIN]->(:OntologyClass {name: Diode, source: Baseline, uri: https://schema.org/Diode})"
"(:OntologyClass:NeedsReview {name: crc value, source: learned_from_dataset, uri: https://example.org/ontology#crc value})-[:USEDIN]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: crimp machine, source: learned_from_dataset, uri: https://example.org/ontology#crimp machine})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp machine, source: learned_from_dataset, uri: https://example.org/ontology#crimp machine})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp machine, source: learned_from_dataset, uri: https://example.org/ontology#crimp machine})-[:USEDWITH]->(:OntologyClass {name: Cable, source: Baseline, uri: https://schema.org/Cable})"
"(:OntologyClass:NeedsReview {name: crimp snap-in contacts, source: learned_from_dataset, uri: https://example.org/ontology#crimp snap-in contacts})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp snap-in contacts, source: learned_from_dataset, uri: https://example.org/ontology#crimp snap-in contacts})-[:USEDIN]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp, stamped, source: learned_from_dataset, uri: https://example.org/ontology#crimp, stamped})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp, stamped, source: learned_from_dataset, uri: https://example.org/ontology#crimp, stamped})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp, machined, source: learned_from_dataset, uri: https://example.org/ontology#crimp, machined})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crimp, machined, source: learned_from_dataset, uri: https://example.org/ontology#crimp, machined})-[:PARTOF]->(:OntologyClass {name: ManufacturingProcess})"
"(:OntologyClass:NeedsReview {name: crimp, machined, source: learned_from_dataset, uri: https://example.org/ontology#crimp, machined})-[:CONNECTEDTO]->(:OntologyClass {name: ElectricalConnection})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:RELATEDTO]->(:OntologyClass {name: PassiveComponent, source: Baseline, uri: https://schema.org/PassiveComponent})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:RELATEDTO]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:RELATEDTO]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:RELATEDTO]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:RELATEDTO]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:RELATEDTO]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:RELATEDTO]->(:OntologyClass {name: FPCAntenna, source: Baseline, uri: https://schema.org/FPCAntenna})"
"(:OntologyClass:NeedsReview {name: crcW1218, source: learned_from_dataset, uri: https://example.org/ontology#crcW1218})-[:RELATEDTO]->(:OntologyClass {name: ChipAntenna, source: Baseline, uri: https://schema.org/ChipAntenna})"
"(:OntologyClass:NeedsReview {name: ct 1661, source: learned_from_dataset, uri: https://example.org/ontology#ct 1661})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cs pin, source: learned_from_dataset, uri: https://example.org/ontology#cs pin})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cs pin, source: learned_from_dataset, uri: https://example.org/ontology#cs pin})-[:CONNECTEDTO]->(:OntologyClass {name: ElectricalConnection})"
"(:OntologyClass:NeedsReview {name: crystal oscillator, source: learned_from_dataset, uri: https://example.org/ontology#crystal oscillator})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:RELATEDTO]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:RELATEDTO]->(:OntologyClass {name: PassiveComponent, source: Baseline, uri: https://schema.org/PassiveComponent})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:RELATEDTO]->(:OntologyClass {name: RFComponent, source: Baseline, uri: https://schema.org/RFComponent})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:RELATEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:RELATEDTO]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:RELATEDTO]->(:OntologyClass {name: Capacitor, source: Baseline, uri: https://schema.org/Capacitor})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:RELATEDTO]->(:OntologyClass {name: Transistor, source: Baseline, uri: https://schema.org/Transistor})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:RELATEDTO]->(:OntologyClass {name: IntegratedCircuit, source: Baseline, uri: https://schema.org/IntegratedCircuit})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:RELATEDTO]->(:OntologyClass {name: FPCAntenna, source: Baseline, uri: https://schema.org/FPCAntenna})"
"(:OntologyClass:NeedsReview {name: crcW2512, source: learned_from_dataset, uri: https://example.org/ontology#crcW2512})-[:RELATEDTO]->(:OntologyClass {name: ChipAntenna, source: Baseline, uri: https://schema.org/ChipAntenna})"
"(:OntologyClass:NeedsReview {name: current-limiting resistor, source: learned_from_dataset, uri: https://example.org/ontology#current-limiting resistor})-[:SUBCLASS_OF]->(:OntologyClass {name: Resistor, source: Baseline, uri: https://schema.org/Resistor})"
"(:OntologyClass:NeedsReview {name: current-limiting resistor, source: learned_from_dataset, uri: https://example.org/ontology#current-limiting resistor})-[:PARTOF]->(:OntologyClass {name: Electrical circuit})"
"(:OntologyClass:NeedsReview {name: custom microprocessor designs, source: learned_from_dataset, uri: https://example.org/ontology#custom microprocessor designs})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: custom microprocessor designs, source: learned_from_dataset, uri: https://example.org/ontology#custom microprocessor designs})-[:CONNECTEDTO]->(:OntologyClass {name: Electromechanical, source: Baseline, uri: https://schema.org/Electromechanical})"
"(:OntologyClass:NeedsReview {name: cyclic damp heat chamber, source: learned_from_dataset, uri: https://example.org/ontology#cyclic damp heat chamber})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: customer notification system register, source: learned_from_dataset, uri: https://example.org/ontology#customer notification system register})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cyclic redundancy check (crc) byte, source: learned_from_dataset, uri: https://example.org/ontology#cyclic redundancy check (crc) byte})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cyclic redundancy check (crc) byte, source: learned_from_dataset, uri: https://example.org/ontology#cyclic redundancy check (crc) byte})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass {name: crystal, source: learned_from_dataset, uri: https://example.org/ontology#crystal})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass {name: crystal, source: learned_from_dataset, uri: https://example.org/ontology#crystal})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: cylindrical package, source: learned_from_dataset, uri: https://example.org/ontology#cylindrical package})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: d package, source: learned_from_dataset, uri: https://example.org/ontology#d package})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: d package, source: learned_from_dataset, uri: https://example.org/ontology#d package})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: d-subminiature connector, source: learned_from_dataset, uri: https://example.org/ontology#d-subminiature connector})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: d-subminiature connector, source: learned_from_dataset, uri: https://example.org/ontology#d-subminiature connector})-[:USEDIN]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: d. j. p. ps. or pw package, source: learned_from_dataset, uri: https://example.org/ontology#d. j. p. ps. or pw package})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: d. j. p. ps. or pw package, source: learned_from_dataset, uri: https://example.org/ontology#d. j. p. ps. or pw package})-[:PARTOF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
"(:OntologyClass:NeedsReview {name: d. p. or ps package, source: learned_from_dataset, uri: https://example.org/ontology#d. p. or ps package})-[:SUBCLASS_OF]->(:OntologyClass {name: ElectronicComponent, source: Baseline, uri: https://schema.org/ElectronicComponent})"
